1.0	0.85	1.03	1.0	0.81	0.82	0.73	0.51	0.24	0.54	0.43	0.51
1.0	0.9	0.59	0.44	0.64	0.33	0.23	0.33	0.58	0.94	0.71	0.72
1.0	1.15	1.62	1.29	0.78	0.99	1.09	0.85	0.63	0.57	0.44	0.41
1.0	1.41	1.46	0.97	1.63	0.97	0.98	0.92	1.55	2.98	4.4	5.84
1.0	2.41	4.84	5.49	1.01	0.69	0.49	0.52	0.46	0.82	0.77	0.9
1.0	0.77	0.78	0.79	0.78	2.71	2.03	1.92	1.73	0.86	0.91	0.7
1.0	0.87	0.56	0.7	1.38	1.55	1.78	1.94	2.95	2.68	2.58	2.67
1.0	0.44	0.75	0.8	0.72	1.51	3.27	5.54	4.37	2.42	3.97	3.26
1.0	0.94	0.94	1.66	2.7	4.38	3.06	2.75	2.14	1.48	1.73	1.34
1.0	0.97	1.63	3.65	5.11	0.92	1.84	2.66	2.14	1.24	1.23	1.05
